src_ip,syn_count,timestamp,severity
10.0.2.15,661,2025-11-03T03:11:35.103454,High
66.241.125.232,156,2025-11-03T03:11:35.103454,High
fd17:625c:f037:2:ddeb:58d2:2c92:278f,108,2025-11-03T03:11:35.103454,High
52.20.222.128,97,2025-11-03T03:11:35.103454,Moderate
44.205.165.147,81,2025-11-03T03:11:35.103454,Moderate
18.207.14.107,80,2025-11-03T03:11:35.103454,Moderate
54.85.23.59,78,2025-11-03T03:11:35.103454,Moderate
3.211.176.227,76,2025-11-03T03:11:35.103454,Moderate
34.236.82.201,56,2025-11-03T03:11:35.103454,Moderate
151.101.157.91,7,2025-11-03T03:11:35.103454,Low
34.110.253.53,6,2025-11-03T03:11:35.103454,Low
34.120.237.76,6,2025-11-03T03:11:35.103454,Low
34.160.90.233,2,2025-11-03T03:11:35.103454,Low
34.107.221.82,2,2025-11-03T03:11:35.103454,Low
34.107.243.93,2,2025-11-03T03:11:35.103454,Low
34.160.144.191,2,2025-11-03T03:11:35.103454,Low
185.125.190.48,2,2025-11-03T03:11:35.103454,Low
91.189.91.98,1,2025-11-03T03:11:35.103454,Low
142.251.223.10,1,2025-11-03T03:11:35.103454,Low
34.149.117.202,1,2025-11-03T03:11:35.103454,Low
34.36.137.203,1,2025-11-03T03:11:35.103454,Low
34.120.208.123,1,2025-11-03T03:11:35.103454,Low
34.49.51.44,1,2025-11-03T03:11:35.103454,Low
185.125.190.98,1,2025-11-03T03:11:35.103454,Low
151.101.65.91,1,2025-11-03T03:11:35.103454,Low
